Language,Question/user message,Answer 1,Other possible answers
English,Hello,"Hello, I am Zero IQ Bot, what's your name?","Hi, My name is Zero IQ Bot, how about you?"
English,xxx,"What a nice name xxx, What would you like to ask about?","What a lovely name xxx!, What can i do for you today?"
English,Where do I need to register in germany?,You need to go to Bürgeramt,You need to go the Bürgeramt in your district
English,Thank You!,You're most welcome xxx !,Don't mention it!
English,Bye,"Goodbye, talk to you later","Goodbye, and have a nice day"
German,Hallo,"Hallo. Mein name ist Null IQ Bot, Wie heißen Sie?","Hallo. Ich heiße Null IQ Bot, und du?"
German,xxx,"Hallo xxx, Was möchecten Sie?","Hallo xxx, Was kann ich für Sie tun?"
German,wo kann man sich registrieren?,Sie mussen zum Bürgeramt gehen,Sie müssen zum nächsten Bürgeramt gehen
German,Danke schön,Bitte schön xxx,Bitte!
German,Tschüss,Auf Wiedersehen,Tschüssi!